EmpID,Name,Department,JobLevel,JobTitle,Gender,AnnualCTC,BonusAmount,BaseSalary,Allowances,BenefitsValue,Location,PerformanceRating,EducationLevel,Experience,Age
L00004,Debra Davidson,Legal,Assistant Manager,Assistant Manager,Female,1489659,0,1309483,126967,53209,Hyderabad,1,Master,8.5,35
C00003,Jessica Chavez,Customer Success,Analyst,Analyst,Female,372303,0,323800,36944,11559,Other City,3,Bachelor,0.0,24
I00006,Shawn Baker,IT,Analyst,IT Analyst,Male,682482,58118,518821,83052,22491,Bengaluru,4,Diploma,1.2,23
S00012,Cassandra Gaines,Sales,Executive,Executive,Female,1139391,312009,727487,58207,41688,Bengaluru,2,Diploma,7.4,33
M00003,Elizabeth Fowler,Marketing,Analyst,Analyst,Female,649680,63692,506728,50665,28595,Delhi,1,Bachelor,0.0,20
O00005,Brittany Farmer,Operations,Senior Executive,Senior Executive,Female,1049513,0,929969,97861,21683,Pune,3,Bachelor,10.8,36
S00013,Richard Moreno,Sales,Manager,Sales Manager,Male,1907228,0,1646997,182032,78199,Kolkata,2,Master,14.3,39
O00006,Fred Smith,Operations,Assistant Manager,Assistant Manager,Male,1687935,0,1404072,216562,67301,Bengaluru,3,Master,12.5,36
S00014,Shawn Decker,Sales,Executive,Executive,Male,628614,148272,397955,60492,21895,Remote,5,Bachelor,5.6,30
R00002,Anthony Humphrey,R&D,Manager,Manager,Male,2316225,15868,1933019,269797,97541,Hyderabad,3,Bachelor,16.2,43
I00007,Bradley Tucker,IT,Analyst,Support Analyst,Male,518503,23137,434159,46210,14997,Hyderabad,3,Bachelor,3.3,24
H00001,Philip Cannon,HR,Analyst,HR Coordinator,Male,546789,0,469740,50902,26147,Mumbai,3,Diploma,0.0,20
I00008,Karen Pierce,IT,Executive,Software Engineer I,Female,887596,0,736594,122450,28552,Delhi,4,Bachelor,7.2,30
F00007,Shane Henderson,Finance,Analyst,Finance Analyst,Male,626918,31047,531060,46536,18275,Mumbai,3,Bachelor,4.3,27
F00008,Joshua Blair,Finance,Analyst,Finance Analyst,Male,599063,0,496176,82779,20108,Bengaluru,2,Diploma,0.3,27
S00015,Emily Carney,Sales,Executive,Executive,Female,966650,186040,694878,50223,35509,Bengaluru,3,Diploma,4.4,29
L00005,Jeffrey Holmes,Legal,Senior Manager,Senior Manager,Male,4158974,0,3694211,296625,168138,Bengaluru,4,Bachelor,20.2,43
C00004,Danny Morgan,Customer Success,Senior Manager,Senior Manager,Male,4308770,0,3635721,493236,179813,Mumbai,3,MBA,18.7,45
L00006,Crystal Robinson,Legal,Executive,Executive,Female,754645,0,644635,89419,20591,Bengaluru,5,Bachelor,4.2,30
R00003,Lynn Perez,R&D,Analyst,Analyst,Female,564819,0,491598,52498,20723,Bengaluru,2,Bachelor,2.5,23
F00009,Shannon Jones,Finance,Analyst,Finance Analyst,Female,420156,0,377241,30157,12758,Kolkata,3,Bachelor,1.3,22
R00004,Maureen Lewis,R&D,Executive,Executive,Female,654452,29457,523316,75369,26310,Remote,2,Diploma,3.3,26
S00016,Timothy Duncan,Sales,Analyst,Sales Associate,Male,479671,0,394844,69796,15031,Delhi,2,Bachelor,1.3,25
S00017,Rachel Aguirre,Sales,Analyst,Sales Associate,Female,576529,0,503715,59103,13711,Bengaluru,2,HighSchool,6.7,30
S00018,Anne Jordan,Sales,Senior Executive,Senior Executive,Female,1163533,0,983622,132862,47049,Remote,2,Bachelor,6.5,32
I00009,John Daniel,IT,Senior Executive,Developer II,Male,1386093,0,1177581,174517,33995,Bengaluru,3,Bachelor,8.7,29
O00007,Victoria Garcia,Operations,Analyst,Analyst,Female,616398,0,541270,53430,21698,Bengaluru,5,Bachelor,0.9,20
I00010,Gina Hensley,IT,Assistant Manager,Assistant Manager,Female,1572749,64862,1319777,158970,29140,Other City,3,Bachelor,14.1,35
C00005,Cheryl West,Customer Success,Assistant Manager,Assistant Manager,Female,1844416,0,1570664,206581,67171,Bengaluru,2,Master,10.1,32
I00011,Donald Wright,IT,Executive,Developer I,Male,881182,0,734336,115588,31258,Bengaluru,2,Bachelor,3.5,30
I00012,Jeremy Callahan,IT,Analyst,IT Analyst,Male,678333,0,576891,84919,16523,Bengaluru,3,HighSchool,1.8,21
F00010,Amber Kidd,Finance,Senior Manager,Senior Manager,Female,4360710,102032,3603713,498561,156404,Bengaluru,5,Master,18.0,36
S00019,Tracy House,Sales,Senior Executive,Senior Executive,Female,1362551,488264,788524,67887,17876,Bengaluru,3,Bachelor,5.7,25
C00006,Christopher Tucker,Customer Success,Analyst,Analyst,Male,596703,0,527872,48364,20467,Delhi,3,Bachelor,1.6,20
S00020,James Brown,Sales,Senior Executive,Senior Executive,Male,1044827,0,856837,149448,38542,Kolkata,5,Bachelor,3.3,30
L00007,William Baker,Legal,Executive,Executive,Male,635275,0,533788,88915,12572,Pune,3,Bachelor,0.0,25
C00007,Jordan Henderson,Customer Success,Senior Executive,Senior Executive,Female,1098173,0,1004619,72218,21336,Delhi,1,Diploma,7.8,26
S00021,Whitney Peters,Sales,Executive,Executive,Female,780892,0,648399,102147,30346,Mumbai,3,Bachelor,4.1,30
S00022,Christopher Phillips,Sales,Executive,Executive,Male,1042538,199417,707708,115844,19569,Delhi,4,HighSchool,9.3,30
C00008,Mr. Joshua Adkins,Customer Success,Assistant Manager,Assistant Manager,Male,1550189,15036,1400330,100157,34666,Remote,4,Bachelor,13.7,38
M00004,Kevin Shaw,Marketing,Senior Executive,Senior Executive,Male,1300441,158960,955316,141756,44409,Delhi,3,Bachelor,8.1,32
M00005,Christopher Yu,Marketing,Analyst,Analyst,Male,680966,0,567143,100950,12873,Bengaluru,3,Bachelor,0.0,22
C00009,Cody Larson,Customer Success,Analyst,Analyst,Male,539794,0,451874,78595,9325,Pune,3,Bachelor,1.9,28
S00023,David Wilson,Sales,Executive,Executive,Male,934326,160626,659433,84216,30051,Mumbai,2,Bachelor,1.8,26
I00013,Danielle Wheeler,IT,Executive,Developer I,Female,874689,0,754312,86390,33987,Bengaluru,3,Diploma,0.7,21
S00024,Jennifer Silva,Sales,Analyst,Sales Associate,Female,767583,170386,502972,72663,21562,Mumbai,2,HighSchool,1.6,23
R00005,Timothy Harris,R&D,Senior Executive,Senior Executive,Male,1161067,0,976816,145404,38847,Delhi,2,Bachelor,6.8,27
H00002,Cynthia Foster,HR,Analyst,HR Coordinator,Female,625160,0,516597,79423,29140,Pune,4,Diploma,3.7,29
I00014,Elijah Stewart,IT,Assistant Manager,Assistant Manager,Male,1982517,0,1793805,127566,61146,Bengaluru,3,Bachelor,11.2,36
S00025,Benjamin Ellis,Sales,Assistant Manager,Assistant Manager,Male,1946863,318984,1428456,128521,70902,Delhi,3,Bachelor,8.6,29
I00015,Dr. Angel Lewis MD,IT,Analyst,IT Analyst,Female,587535,0,511602,48355,27578,Bengaluru,3,Bachelor,5.0,23
I00016,Shirley Suarez,IT,Senior Executive,Developer II,Female,1261383,0,1055725,166125,39533,Hyderabad,3,Bachelor,5.5,30
M00006,Christopher Bass,Marketing,Director,Director,Male,6462065,0,5464690,804985,192390,Bengaluru,1,Master,23.7,42
H00003,Logan Archer,HR,Analyst,HR Coordinator,Male,648360,0,555497,76847,16016,Bengaluru,3,Bachelor,2.4,27
R00006,Adam Montoya,R&D,Senior Manager,Senior Manager,Male,3479834,0,3065688,325482,88664,Delhi,2,Bachelor,16.3,43
O00008,Matthew Mcmillan,Operations,Senior Executive,Senior Executive,Male,1153968,0,956748,146157,51063,Delhi,3,HighSchool,8.6,35
S00026,Brian Rodriguez,Sales,Senior Executive,Senior Executive,Male,1058446,68239,843473,104335,42399,Hyderabad,3,Bachelor,8.4,33
M00007,Denise Jacobs,Marketing,Analyst,Analyst,Female,617187,75856,489711,40456,11164,Pune,3,Bachelor,1.9,27
C00010,Christina Walters,Customer Success,Assistant Manager,Assistant Manager,Female,1833887,0,1560813,223777,49297,Bengaluru,2,Master,11.2,32
F00011,John Whitehead,Finance,Executive,Executive,Male,754279,60497,597932,72331,23519,Bengaluru,3,Bachelor,0.0,22
C00011,Anna Henderson,Customer Success,Assistant Manager,Assistant Manager,Female,1380328,0,1167510,180339,32479,Hyderabad,3,MBA,13.3,34
O00009,April Wise,Operations,Assistant Manager,Assistant Manager,Female,1697927,0,1457216,185671,55040,Pune,4,Bachelor,12.3,36
F00012,Deborah Figueroa,Finance,Senior Executive,Senior Executive,Female,1119392,25184,905687,157743,30778,Pune,3,Bachelor,5.3,31
O00010,Jessica Smith,Operations,Analyst,Analyst,Female,666627,0,564942,83868,17817,Hyderabad,3,Bachelor,2.5,28
S00027,Sonya Mckee,Sales,Analyst,Sales Associate,Female,805049,184021,524027,71970,25031,Bengaluru,2,Bachelor,0.0,25
S00028,Ruben Aguilar,Sales,Analyst,Sales Associate,Male,931662,210394,603085,82623,35560,Mumbai,3,Bachelor,2.8,25
S00029,Bethany Parker,Sales,Manager,Sales Manager,Female,2662446,650571,1771149,147269,93457,Remote,3,Bachelor,16.7,41
H00004,Rebecca Valencia,HR,Analyst,HR Coordinator,Female,595543,0,491563,75370,28610,Mumbai,2,Bachelor,1.4,21
I00017,Christine Wright,IT,Executive,Software Engineer I,Female,819580,0,706934,92646,20000,Bengaluru,3,Bachelor,7.7,33
O00011,Richard Henson,Operations,Executive,Executive,Male,724682,0,618248,77738,28696,Bengaluru,3,Diploma,0.7,20
R00007,Lisa Moore,R&D,Manager,Manager,Female,2170783,0,1868205,235225,67353,Kolkata,3,Master,20.8,40
I00018,Sharon Cherry,IT,Executive,Software Engineer I,Female,724264,0,619258,85170,19836,Remote,2,Bachelor,3.0,21
O00012,Sierra Johnson,Operations,Associate Partner,Associate Partner,Female,7625292,0,6919030,561820,144442,Delhi,3,MBA,29.3,54
M00008,Gary Galvan,Marketing,Assistant Manager,Assistant Manager,Male,1706019,0,1479888,157621,68510,Mumbai,2,Bachelor,12.5,32
I00019,Sharon Cochran,IT,Manager,Engineering Manager,Female,2718222,0,2229347,362904,125971,Mumbai,2,Master,17.0,39
S00030,Rachel Rodriguez,Sales,Analyst,Sales Associate,Female,710979,0,597338,88986,24655,Mumbai,3,Bachelor,2.0,27
I00020,Scott Walker,IT,Analyst,Support Analyst,Male,615060,39157,472882,81709,21312,Mumbai,3,Bachelor,0.6,21
S00031,Julia Torres,Sales,Analyst,Sales Associate,Female,799489,128870,569422,80360,20837,Bengaluru,2,Bachelor,0.0,26
R00008,Crystal Johnson,R&D,Executive,Executive,Female,829367,0,688053,117034,24280,Delhi,4,Bachelor,9.1,29
C00012,Erin Lin,Customer Success,Assistant Manager,Assistant Manager,Female,1659344,0,1443974,150354,65016,Bengaluru,3,Master,13.1,34
H00005,Mr. Martin Ross,HR,Analyst,HR Coordinator,Male,445453,0,399015,36441,9997,Kolkata,3,Bachelor,0.0,22
R00009,Kimberly Crosby MD,R&D,Analyst,Analyst,Female,575125,0,500671,63201,11253,Bengaluru,4,Bachelor,3.7,30
C00013,Mr. Victor Baker,Customer Success,Senior Executive,Senior Executive,Male,894693,0,779704,85024,29965,Hyderabad,4,Bachelor,6.6,31
S00032,Jessica Chandler,Sales,Analyst,Sales Associate,Female,681998,207956,406864,54512,12666,Delhi,3,Bachelor,0.3,22
R00010,Larry Dixon,R&D,Executive,Executive,Male,771592,62432,610072,74624,24464,Bengaluru,3,Diploma,3.3,27
F00013,Laura Scott,Finance,Analyst,Finance Analyst,Female,493336,22928,422926,35471,12011,Hyderabad,2,Diploma,0.0,26
C00014,Aaron Frost,Customer Success,Senior Executive,Senior Executive,Male,752272,0,632000,96652,23620,Remote,4,Bachelor,5.4,31
R00011,Nathan Harmon,R&D,Senior Executive,Senior Executive,Male,1056611,0,954454,67036,35121,Bengaluru,3,Bachelor,10.9,32
I00021,Jackson Jones,IT,Senior Executive,Developer II,Male,1240934,97994,929604,166506,46830,Remote,2,HighSchool,9.4,30
S00033,Gary Edwards,Sales,Analyst,Sales Associate,Male,868838,204633,554370,92406,17429,Remote,2,Bachelor,0.8,24
I00022,Nathan Evans,IT,Analyst,Support Analyst,Male,530989,0,444945,72494,13550,Mumbai,5,Diploma,0.0,20
O00013,Jason Powell,Operations,Assistant Manager,Assistant Manager,Male,1279183,0,1153506,84622,41055,Pune,3,Master,10.5,33
C00015,Cameron Fisher,Customer Success,Assistant Manager,Assistant Manager,Male,2090313,0,1736430,311629,42254,Bengaluru,3,Bachelor,8.4,33
R00012,Michael Orr,R&D,Senior Executive,Senior Executive,Male,934157,0,774530,130478,29149,Other City,2,Bachelor,10.3,33
S00034,Elizabeth Kelley,Sales,Senior Executive,Senior Executive,Female,1309834,0,1078584,190215,41035,Bengaluru,2,Bachelor,5.6,28
O00014,Dustin Jordan,Operations,Analyst,Analyst,Male,665683,0,560218,86767,18698,Delhi,4,Diploma,0.0,20
O00015,Mary Marshall,Operations,Manager,Manager,Female,2703109,0,2367033,197349,138727,Bengaluru,2,Master,17.8,37
I00023,Daniel Kennedy,IT,Assistant Manager,Assistant Manager,Male,1710488,0,1407204,241754,61530,Delhi,4,MBA,7.5,32
S00035,Rebecca Jackson,Sales,Senior Executive,Senior Executive,Female,1449148,387736,904082,124173,33157,Pune,3,Bachelor,7.4,34
I00024,Kaylee Schultz,IT,Senior Manager,Senior Manager,Female,3627381,0,3147660,320368,159353,Pune,2,Bachelor,19.1,40
L00008,Robert Potter,Legal,Analyst,Analyst,Male,491074,0,438109,37400,15565,Pune,2,Bachelor,0.0,23
I00025,Danny Gonzalez,IT,Senior Executive,Developer II,Male,1434188,0,1204832,204302,25054,Bengaluru,3,Bachelor,9.5,29
O00016,Danielle Alvarez,Operations,Director,Director,Female,5532399,0,4529180,779837,223382,Hyderabad,3,MBA,20.7,39
M00009,Angel Perry,Marketing,Executive,Executive,Female,882426,0,762177,101845,18404,Bengaluru,3,Diploma,5.7,29
I00026,Cheyenne Horton,IT,Analyst,Support Analyst,Female,548323,0,452746,71640,23937,Bengaluru,5,HighSchool,1.1,26
L00009,Dana Douglas,Legal,Assistant Manager,Assistant Manager,Female,1506414,0,1232944,218679,54791,Bengaluru,2,MBA,15.4,37
L00010,Paul Carrillo,Legal,Analyst,Analyst,Male,515362,0,429598,68838,16926,Pune,4,Bachelor,2.6,25
I00027,Jeffery Thompson,IT,Manager,Engineering Manager,Male,2203267,0,1838044,282042,83181,Hyderabad,5,Bachelor,18.7,37
O00017,Joseph Williams,Operations,Analyst,Analyst,Male,591574,0,507176,72371,12027,Bengaluru,5,Diploma,1.6,26
I00028,Sarah Bryant,IT,Senior Executive,Software Engineer II,Female,1180475,0,991840,149228,39407,Remote,3,Bachelor,8.6,32
I00029,Mary Travis,IT,Executive,Developer I,Female,686514,0,570643,99295,16576,Hyderabad,2,Diploma,1.1,27
S00036,Tiffany Vance,Sales,Analyst,Sales Associate,Female,776301,203896,497050,47170,28185,Hyderabad,3,Bachelor,0.0,20
F00014,Nathan Wagner,Finance,Manager,Manager,Male,3048500,0,2633218,352317,62965,Bengaluru,4,Bachelor,14.7,39
O00018,Joshua Merritt,Operations,Assistant Manager,Assistant Manager,Male,1377277,0,1194965,113064,69248,Kolkata,1,MBA,10.7,36
S00037,Karen Green,Sales,Executive,Executive,Female,930914,255227,575380,78843,21464,Hyderabad,4,Bachelor,7.7,26
I00030,Mark Cannon,IT,Analyst,IT Analyst,Male,512935,0,451054,38253,23628,Pune,3,Diploma,3.4,24
R00013,Mark Hill,R&D,Assistant Manager,Assistant Manager,Male,1514180,0,1329271,106310,78599,Hyderabad,3,Master,15.5,42
I00031,Donna Nelson,IT,Manager,Engineering Manager,Female,2156570,3530,1830120,264953,57967,Mumbai,4,Bachelor,15.3,37
S00038,Joshua Taylor,Sales,Assistant Manager,Assistant Manager,Male,2271882,590523,1435666,172770,72923,Mumbai,2,MBA,14.8,34
O00019,Melissa Mccarthy,Operations,Senior Executive,Senior Executive,Female,851350,0,707067,104161,40122,Remote,2,Diploma,14.7,41
L00011,Jason Daniels,Legal,Analyst,Analyst,Male,491233,0,405499,68863,16871,Other City,3,Bachelor,0.2,22
I00032,Christine Fisher,IT,Manager,Engineering Manager,Female,3115453,0,2578804,398767,137882,Bengaluru,2,Master,16.0,34
H00006,Kevin Dominguez,HR,Assistant Manager,Assistant Manager,Male,1937273,0,1652462,247492,37319,Bengaluru,2,Bachelor,12.2,33
C00016,Ralph James,Customer Success,Executive,Executive,Male,856277,0,714862,126232,15183,Mumbai,2,Diploma,5.3,27
I00033,Guy Molina,IT,Executive,Software Engineer I,Male,594661,0,506221,71444,16996,Remote,4,Diploma,5.3,24
M00010,Troy Barnes,Marketing,Senior Executive,Senior Executive,Male,887258,0,770804,100701,15753,Delhi,3,Bachelor,4.5,28
I00034,Joshua Morrison,IT,Manager,Engineering Manager,Male,2015251,0,1770267,208787,36197,Other City,3,Bachelor,15.7,39
H00007,Colleen Graham,HR,Assistant Manager,Assistant Manager,Female,1579850,0,1383024,134765,62061,Bengaluru,2,Master,13.8,39
H00008,George Shelton,HR,Manager,Manager,Male,2347171,0,2083363,152642,111166,Bengaluru,1,Master,17.6,42
F00015,Carmen Mcdonald,Finance,Executive,Executive,Female,626495,0,554969,54334,17192,Remote,2,Bachelor,8.8,27
S00039,Lisa Johnson,Sales,Senior Executive,Senior Executive,Female,1957591,647684,1167036,113561,29310,Bengaluru,4,HighSchool,8.3,34
C00017,Justin Johnson,Customer Success,Manager,Manager,Male,2520135,0,2255552,210357,54226,Delhi,3,Master,15.7,39
I00035,Brandy Murray,IT,Analyst,Support Analyst,Female,677779,12721,559393,73733,31932,Bengaluru,4,Diploma,6.0,24
S00040,James Lewis,Sales,Executive,Executive,Male,948869,271968,581401,81517,13983,Delhi,2,Bachelor,4.7,25
S00041,Philip Gray,Sales,Senior Executive,Senior Executive,Male,1070054,292648,647298,107019,23089,Kolkata,3,Bachelor,6.0,30
F00016,Ronnie King,Finance,Senior Manager,Senior Manager,Male,2953116,0,2454464,426799,71853,Other City,5,Bachelor,15.0,33
H00009,Alicia Ryan,HR,Analyst,HR Coordinator,Female,537631,0,447624,78269,11738,Hyderabad,4,Bachelor,5.0,28
S00042,Mrs. Marie Harrington DDS,Sales,Analyst,Sales Associate,Female,1045377,385837,567828,67351,24361,Bengaluru,4,Bachelor,0.9,22
O00020,Travis Gonzalez,Operations,Analyst,Analyst,Male,540370,0,440770,74117,25483,Remote,3,Bachelor,2.6,28
I00036,Brittany Martinez,IT,Executive,Software Engineer I,Female,732592,0,637729,68675,26188,Bengaluru,2,Bachelor,4.5,23
H00010,Kristy Robinson,HR,Analyst,HR Coordinator,Female,482115,0,410430,55563,16122,Pune,2,Bachelor,0.0,24
S00043,Randall Jackson,Sales,Senior Executive,Senior Executive,Male,1270049,221542,867878,142071,38558,Other City,5,Bachelor,5.1,25
M00011,Paul Wilson,Marketing,Manager,Manager,Male,2863077,0,2466976,326393,69708,Bengaluru,5,Bachelor,10.0,28
O00021,Vincent Rodriguez,Operations,Senior Executive,Senior Executive,Male,979957,0,897723,63718,18516,Kolkata,2,Bachelor,12.1,34
L00012,Emily Byrd,Legal,Analyst,Analyst,Female,561487,0,471240,69818,20429,Remote,3,Bachelor,0.0,23
S00044,James Espinoza,Sales,Manager,Sales Manager,Male,2416137,0,2001484,311751,102902,Bengaluru,2,Master,18.6,44
I00037,Michael Burton,IT,Senior Executive,Software Engineer II,Male,979029,0,839054,121046,18929,Pune,4,Bachelor,9.1,34
S00045,Patricia Jefferson,Sales,Analyst,Sales Associate,Female,485670,0,436035,36425,13210,Remote,4,Bachelor,0.1,22
R00014,Bryan Riggs,R&D,Executive,Executive,Male,748776,0,669732,63362,15682,Mumbai,3,Diploma,2.0,20
R00015,Hannah Patterson,R&D,Assistant Manager,Assistant Manager,Female,1542346,2815,1310510,199948,29073,Mumbai,2,Master,7.0,25
I00038,Jonathan Peterson,IT,Assistant Manager,Assistant Manager,Male,1704932,0,1400310,252032,52590,Delhi,3,Bachelor,8.0,31
H00011,Rodney Garcia,HR,Senior Executive,Senior Executive,Male,1250877,0,1124649,96913,29315,Bengaluru,4,Bachelor,5.9,25
C00018,Mr. Ronald Zimmerman,Customer Success,Analyst,Analyst,Male,555097,0,487717,44897,22483,Hyderabad,1,Diploma,0.0,20
F00017,Morgan Sheppard,Finance,Assistant Manager,Assistant Manager,Female,1626786,0,1428489,149572,48725,Bengaluru,2,MBA,13.0,40
F00018,Robert Medina,Finance,Executive,Executive,Male,650585,0,587319,43365,19901,Mumbai,4,Bachelor,2.6,25
I00039,Jeffrey Simon,IT,Assistant Manager,Assistant Manager,Male,1661531,0,1490619,115068,55844,Bengaluru,4,Bachelor,9.5,33
S00046,Sarah Rivas,Sales,Senior Executive,Senior Executive,Female,1001663,0,838788,141282,21593,Remote,1,Bachelor,8.7,30
R00016,Stephen Sanchez,R&D,Analyst,Analyst,Male,575255,0,523023,38753,13479,Mumbai,3,Bachelor,5.9,27
R00017,Leonard Gray,R&D,Analyst,Analyst,Male,670831,0,553276,97586,19969,Bengaluru,4,Diploma,6.7,26
H00012,Sarah White,HR,Analyst,HR Coordinator,Female,646937,0,558473,56426,32038,Bengaluru,5,Bachelor,0.8,20
I00040,Rebecca Peterson,IT,Analyst,IT Analyst,Female,388441,0,328893,41199,18349,Other City,4,Diploma,1.4,27
I00041,Meredith Hill,IT,Analyst,IT Analyst,Female,553513,0,462811,75455,15247,Kolkata,3,Diploma,1.9,25
M00012,Tiffany Miller,Marketing,Senior Executive,Senior Executive,Female,1240532,50303,1018257,119675,52297,Mumbai,3,Bachelor,8.5,29
R00018,Katherine Chang,R&D,Senior Executive,Senior Executive,Female,1059269,0,873304,154090,31875,Remote,1,Bachelor,3.6,25
R00019,Maria Henry,R&D,Senior Executive,Senior Executive,Female,1033905,0,872055,115013,46837,Pune,3,Bachelor,9.1,33
C00019,Brandon Walker,Customer Success,Senior Executive,Senior Executive,Male,1022452,0,882359,90578,49515,Remote,3,Bachelor,8.0,28
H00013,Eric Perkins,HR,Assistant Manager,Assistant Manager,Male,1610322,0,1468770,106928,34624,Hyderabad,4,Bachelor,14.0,32
S00047,Joseph Coleman,Sales,Senior Manager,Senior Manager,Male,5206358,1274947,3381757,350092,199562,Mumbai,4,Bachelor,16.0,34
S00048,Erin Warner,Sales,Analyst,Sales Associate,Female,599883,108858,404201,70321,16503,Kolkata,3,Diploma,2.0,22
R00020,Danielle Martinez,R&D,Senior Executive,Senior Executive,Female,1053052,10880,878579,122567,41026,Remote,3,Bachelor,12.0,30
F00019,Barbara Herrera,Finance,Analyst,Finance Analyst,Female,540590,33690,417175,67535,22190,Kolkata,3,HighSchool,2.9,23
S00049,Cody Robinson,Sales,Analyst,Sales Associate,Male,726052,202438,440593,73523,9498,Hyderabad,3,Diploma,1.6,20
S00050,Misty Bray,Sales,Senior Executive,Senior Executive,Female,1272113,167670,969039,95225,40179,Pune,4,Bachelor,6.4,32
H00014,Douglas Garcia,HR,Executive,Executive,Male,589320,0,488703,75786,24831,Hyderabad,4,Bachelor,2.7,23
S00051,Darren White,Sales,Assistant Manager,Assistant Manager,Male,3146136,1342979,1541455,187400,74302,Bengaluru,4,MBA,8.0,28
